ref_area,indicator,source,time,obs_value,obs_status
ARE,LAP_2GDP_NOC_RT,XA:1978,2012,25.68,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2011,25.21,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2010,28.23,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2009,25.76,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2008,24.9,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2007,24.89,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2006,24.18,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2005,24.72,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2004,24.24,I
ARG,LAP_2GDP_NOC_RT,XA:1868,2019,53.44,
ARG,LAP_2GDP_NOC_RT,XA:1868,2018,55.88,
ARG,LAP_2GDP_NOC_RT,XA:1868,2017,59.19,
ARG,LAP_2GDP_NOC_RT,XA:1868,2016,59.85,M
ARG,LAP_2GDP_NOC_RT,XA:1868,2015,59.05,M
ARG,LAP_2GDP_NOC_RT,XA:1868,2014,59.65,M
ARG,LAP_2GDP_NOC_RT,XA:1868,2013,58.92,
ARG,LAP_2GDP_NOC_RT,XA:1868,2012,56.96,
ARG,LAP_2GDP_NOC_RT,XA:1868,2011,52.31,
ARG,LAP_2GDP_NOC_RT,XA:1868,2010,49.29,
ARG,LAP_2GDP_NOC_RT,XA:1868,2009,50.24,
ARG,LAP_2GDP_NOC_RT,XA:1868,2008,45.94,
ARG,LAP_2GDP_NOC_RT,XA:1868,2007,42.4,
ARG,LAP_2GDP_NOC_RT,XA:1868,2006,41.47,
ARG,LAP_2GDP_NOC_RT,XA:1868,2005,40.6,
ARG,LAP_2GDP_NOC_RT,XA:1868,2004,38.73,
ARM,LAP_2GDP_NOC_RT,XA:1931,2019,46.46,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2018,45.46,
ARM,LAP_2GDP_NOC_RT,XA:1931,2017,45.59,
ARM,LAP_2GDP_NOC_RT,XA:1931,2016,46.62,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2015,47.16,
ARM,LAP_2GDP_NOC_RT,XA:1931,2014,47.64,
ARM,LAP_2GDP_NOC_RT,XA:1931,2013,45.57,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2012,46.39,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2011,48.56,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2010,48.22,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2009,49.65,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2008,47.94,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2007,49.89,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2006,51.74,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2005,52.98,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2004,53.73,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2019,59.61,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2018,58.42,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2017,59.17,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2016,59.34,
AUS,LAP_2GDP_NOC_RT,XA:2202,2015,62.1,
AUS,LAP_2GDP_NOC_RT,XA:2202,2014,61.35,
AUS,LAP_2GDP_NOC_RT,XA:2202,2013,60.35,
AUS,LAP_2GDP_NOC_RT,XA:2202,2012,61.01,
AUS,LAP_2GDP_NOC_RT,XA:2202,2011,61.4,
AUS,LAP_2GDP_NOC_RT,XA:2202,2010,61.4,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2009,61.2,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2008,60.83,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2007,62.65,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2006,63.03,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2005,63.6,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2004,64.04,M
AUT,LAP_2GDP_NOC_RT,XA:2089,2019,59.24,M
AUT,LAP_2GDP_NOC_RT,XA:2089,2018,58.31,
AUT,LAP_2GDP_NOC_RT,XA:2089,2017,60.17,
AUT,LAP_2GDP_NOC_RT,XA:2089,2016,61.03,
AUT,LAP_2GDP_NOC_RT,XA:2089,2015,58.93,
AUT,LAP_2GDP_NOC_RT,XA:2089,2014,60.74,
AUT,LAP_2GDP_NOC_RT,XA:2089,2013,57.94,
AUT,LAP_2GDP_NOC_RT,XA:2089,2012,57.95,
AUT,LAP_2GDP_NOC_RT,XA:2089,2011,57.44,
AUT,LAP_2GDP_NOC_RT,XA:2089,2010,58.54,
AUT,LAP_2GDP_NOC_RT,XA:2089,2009,59.43,
AUT,LAP_2GDP_NOC_RT,XA:2089,2008,57.02,
AUT,LAP_2GDP_NOC_RT,XA:2089,2007,57.2,M
AUT,LAP_2GDP_NOC_RT,XA:2089,2006,58.61,
AUT,LAP_2GDP_NOC_RT,XA:2089,2005,59.69,
AUT,LAP_2GDP_NOC_RT,XA:2089,2004,60.28,M
AZE,LAP_2GDP_NOC_RT,XA:2121,2019,48.54,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2018,45.3,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2017,45.03,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2016,48.29,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2015,48.99,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2014,41.11,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2013,39.46,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2012,36.99,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2011,35.28,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2010,38.4,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2009,41.09,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2008,33.67,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2007,35.69,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2006,40.51,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2005,40.97,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2004,41.81,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2019,33.1,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2018,33.05,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2017,33.14,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2016,33.15,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2015,33.74,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2014,31.8,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2013,31.7,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2012,31.84,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2011,32.02,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2010,31.77,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2009,31.95,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2008,31.83,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2007,32.03,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2006,31.66,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2005,32.51,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2004,31.78,I
BEL,LAP_2GDP_NOC_RT,XA:2185,2019,61.86,M
BEL,LAP_2GDP_NOC_RT,XA:2185,2018,61.55,
BEL,LAP_2GDP_NOC_RT,XA:2185,2017,61.61,
BEL,LAP_2GDP_NOC_RT,XA:2185,2016,62.53,
BEL,LAP_2GDP_NOC_RT,XA:2185,2015,63.85,
BEL,LAP_2GDP_NOC_RT,XA:2185,2014,64.71,
BEL,LAP_2GDP_NOC_RT,XA:2185,2013,67.32,
BEL,LAP_2GDP_NOC_RT,XA:2185,2012,66.35,
BEL,LAP_2GDP_NOC_RT,XA:2185,2011,65.69,
BEL,LAP_2GDP_NOC_RT,XA:2185,2010,65.18,
BEL,LAP_2GDP_NOC_RT,XA:2185,2009,66.1,
BEL,LAP_2GDP_NOC_RT,XA:2185,2008,65.43,
BEL,LAP_2GDP_NOC_RT,XA:2185,2007,65.41,
BEL,LAP_2GDP_NOC_RT,XA:2185,2006,64.77,
BEL,LAP_2GDP_NOC_RT,XA:2185,2005,64.88,M
BEL,LAP_2GDP_NOC_RT,XA:2185,2004,64.88,M
BEN,LAP_2GDP_NOC_RT,XA:2018,2019,45.31,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2018,45.44,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2017,45.7,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2016,46.26,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2015,46.62,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2014,45.38,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2013,45.16,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2012,45.77,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2011,46.18,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2010,46.38,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2009,46.34,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2008,45.7,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2007,45.41,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2006,45.94,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2005,46.5,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2004,45.82,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2019,46.37,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2018,46.28,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2017,43.93,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2016,43.62,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2015,46.6,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2014,45.62,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2013,43.84,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2012,42.19,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2011,42.7,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2010,43.93,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2009,45.03,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2008,45.27,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2007,46.95,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2006,48.84,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2005,50.02,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2004,51,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2019,41.1,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2018,41.29,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2017,41.64,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2016,41.75,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2015,42.08,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2014,42.37,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2013,42.42,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2012,42.16,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2011,42.22,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2010,42.75,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2009,43.08,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2008,42.57,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2007,42.02,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2006,42.27,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2005,42.38,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2004,43.13,I
BGR,LAP_2GDP_NOC_RT,XA:2203,2019,51.73,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2018,51.98,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2017,53.01,
BGR,LAP_2GDP_NOC_RT,XA:2203,2016,51.35,
BGR,LAP_2GDP_NOC_RT,XA:2203,2015,50.65,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2014,50.59,
BGR,LAP_2GDP_NOC_RT,XA:2203,2013,50.02,
BGR,LAP_2GDP_NOC_RT,XA:2203,2012,45.64,
BGR,LAP_2GDP_NOC_RT,XA:2203,2011,42.52,
BGR,LAP_2GDP_NOC_RT,XA:2203,2010,44.28,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2009,43.26,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2008,41.48,
BGR,LAP_2GDP_NOC_RT,XA:2203,2007,40.17,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2006,40.97,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2005,42.37,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2004,43.23,M
BHR,LAP_2GDP_NOC_RT,XA:2081,2019,30.3,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2018,30.37,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2017,29.81,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2016,29.98,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2015,30.22,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2014,29.81,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2013,29.05,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2012,29.46,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2011,27.88,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2010,29.69,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2009,30.74,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2008,26.06,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2007,26.94,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2006,25.96,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2005,27.23,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2004,29.95,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2019,58.6,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2018,58.21,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2017,58.2,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2016,58.57,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2015,58.84,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2014,58.66,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2013,59.47,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2012,58.23,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2011,58.77,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2010,58.57,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2009,59.81,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2008,59.41,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2007,58.61,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2006,58.39,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2005,58.21,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2004,58.77,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2019,43.83,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2018,43.59,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2017,43.78,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2016,43.78,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2015,43.84,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2014,43.89,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2013,43.83,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2012,44.42,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2011,44.05,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2010,44.11,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2009,44.77,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2008,43.78,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2007,43.7,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2006,43.8,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2005,43.26,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2004,43.71,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2019,51.21,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2018,49.92,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2017,49.4,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2016,49.48,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2015,49.99,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2014,51.65,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2013,52.89,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2012,45.42,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2011,42.72,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2010,50.08,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2009,48.35,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2008,45.8,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2007,47.24,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2006,48.55,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2005,46.77,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2004,44.94,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2019,45.23,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2018,44.16,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2017,44.42,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2016,44.97,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2015,44,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2014,43.41,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2013,44.29,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2012,43.91,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2011,44.06,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2010,43.7,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2009,44.6,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2008,43.53,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2007,44.5,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2006,43.09,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2005,44.04,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2004,43.12,I
BOL,LAP_2GDP_NOC_RT,XA:1907,2019,55.82,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2018,56.28,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2017,55.96,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2016,56.23,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2015,53.39,
BOL,LAP_2GDP_NOC_RT,XA:1907,2014,50.32,
BOL,LAP_2GDP_NOC_RT,XA:1907,2013,44.82,
BOL,LAP_2GDP_NOC_RT,XA:1907,2012,43.51,
BOL,LAP_2GDP_NOC_RT,XA:1907,2011,45.27,
BOL,LAP_2GDP_NOC_RT,XA:1907,2010,45.35,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2009,47.03,
BOL,LAP_2GDP_NOC_RT,XA:1907,2008,44.49,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2007,47.55,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2006,50.15,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2005,57.09,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2004,59.08,
BRA,LAP_2GDP_NOC_RT,XA:2002,2019,61.4,M
BRA,LAP_2GDP_NOC_RT,XA:2002,2018,61.34,
BRA,LAP_2GDP_NOC_RT,XA:2002,2017,61.94,
BRA,LAP_2GDP_NOC_RT,XA:2002,2016,62.11,
BRA,LAP_2GDP_NOC_RT,XA:2002,2015,61.9,
BRA,LAP_2GDP_NOC_RT,XA:2002,2014,59.35,
BRA,LAP_2GDP_NOC_RT,XA:2002,2013,59.05,
BRA,LAP_2GDP_NOC_RT,XA:2002,2012,57.94,
BRA,LAP_2GDP_NOC_RT,XA:2002,2011,58.3,
BRA,LAP_2GDP_NOC_RT,XA:2002,2010,57.85,M
BRA,LAP_2GDP_NOC_RT,XA:2002,2009,59.32,
BRA,LAP_2GDP_NOC_RT,XA:2002,2008,57.49,
BRA,LAP_2GDP_NOC_RT,XA:2002,2007,56.83,
BRA,LAP_2GDP_NOC_RT,XA:2002,2006,58.22,
BRA,LAP_2GDP_NOC_RT,XA:2002,2005,56.93,
BRA,LAP_2GDP_NOC_RT,XA:2002,2004,56.07,
BRB,LAP_2GDP_NOC_RT,XA:2193,2019,58.39,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2018,58.48,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2017,58.28,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2016,57.87,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2015,57.86,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2014,58.35,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2013,58.6,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2012,58.42,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2011,58.46,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2010,58.76,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2009,59.28,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2008,58.19,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2007,57.91,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2006,57.21,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2005,57.57,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2004,58.04,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2019,51.04,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2018,51.81,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2017,51.57,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2016,52.36,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2015,51.92,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2014,52.36,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2013,52.27,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2012,51.63,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2011,51.03,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2010,51.26,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2009,52.17,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2008,52.2,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2007,51.76,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2006,50.86,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2005,51.7,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2004,51.67,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2019,41.33,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2018,41.64,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2017,41.43,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2016,40.97,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2015,41.12,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2014,41.11,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2013,41.55,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2012,41.14,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2011,40.76,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2010,40.1,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2009,40.75,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2008,40.98,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2007,39.23,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2006,40.67,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2005,40.61,I
BTN,LAP_2GDP_NOC_RT,XA:1872,2004,40.75,I
